/home/amx/Z/Biotinylations/BCA assays	922,001
/home/amx/Z/Biotinylations/2009	1,975,296
/home/amx/Z/Biotinylations/2012	550,212
/home/amx/Z/Biotinylations/2007	1,810,944
/home/amx/Z/Biotinylations/2010	2,478,592
/home/amx/Z/Biotinylations/2011	2,376,481
/home/amx/Z/Allermetrix Overview/old	2,979,353
/home/amx/Z/Allermetrix Overview/New folder	0
/home/amx/Z/9-18-13Allergens/Lot lookup archive	2,428,416
/home/amx/Z/9-18-13Allergens/old	32,332,143
/home/amx/Z/9-18-13Allergens/inventory 2009	174,592
/home/amx/Z/9-18-13Allergens/Botanical Zones	3,470,336
/home/amx/Z/9-18-13Allergens/stock allergen archive	11,401,216
/home/amx/Z/9-18-13Allergens/Assay Library	0
/home/amx/Z/BILLING LIS/Allergens (bu)	0
/home/amx/Z/BILLING LIS/BILLING OVERVIEW	55,296
/home/amx/Z/Data/Monitor Dec 2012	100,352
/home/amx/Z/Data/Old drivers	19,300,423
/home/amx/Z/Data/Monitor Feb 2013	90,624
/home/amx/Z/Data/old	878,032,003
/home/amx/Z/Data/Monitor Nov 2014	187,392
/home/amx/Z/Data/Monitor Oct 2014	115,456
/home/amx/Z/Data/Monitor Jul 2014	115,456
/home/amx/Z/Data/Monitor Feb 2015	90,624
/home/amx/Z/Data/Monitor Jan 2015	39,936
/home/amx/Z/Data/working inventory	6,116,330
/home/amx/Z/Data/Monitor Dec 2014	93,184
/home/amx/Z/Data/Monitor Jan 2013	94,720
/home/amx/Z/Data/operational	6,869,128
/home/amx/Z/Data/Monitor	2,092,544
/home/amx/Z/Data/clarion_dll	23,071,799
/home/amx/Z/Data/Monitor Aug 2014	106,752
/home/amx/Z/Data/Monitor Nov 2012	96,768
/home/amx/Z/Data/COPY	4,096
/home/amx/Z/Data/Old	1,557,674,885
/home/amx/Z/Data/Monitor Sep 2014	116,224
/home/amx/Z/verification/new allassays	4,214,671
/home/amx/Z/ResultsNoEncrypt/200215	57,761
/home/amx/Z/ResultsNoEncrypt/200212	1,660,863
/home/amx/Z/ResultsNoEncrypt/200261	45,280
/home/amx/Z/ResultsNoEncrypt/200262	294,695
/home/amx/Z/ResultsNoEncrypt/200302	121,820
/home/amx/Z/ResultsNoEncrypt/200318	99,327
/home/amx/Z/ResultsNoEncrypt/500306	26,637,306
/home/amx/Z/ResultsNoEncrypt/200014	310,464,700
/home/amx/Z/ResultsNoEncrypt/200255	739,464
/home/amx/Z/ResultsNoEncrypt/200257	41,752
/home/amx/Z/ResultsNoEncrypt/200258	583,304
/home/amx/Z/ResultsNoEncrypt/100028	6,719,446
/home/amx/Z/ResultsNoEncrypt/500881	526,430
/home/amx/Z/ResultsNoEncrypt/200247	35,278,158
/home/amx/Z/ResultsNoEncrypt/200115	166,902
/home/amx/Z/ResultsNoEncrypt/200289	544,029
/home/amx/Z/ResultsNoEncrypt/200001	42,286,941
/home/amx/Z/ResultsNoEncrypt/500237	525,897
/home/amx/Z/ResultsNoEncrypt/500367	1,581,908
/home/amx/Z/ResultsNoEncrypt/700000	8,340,958
/home/amx/Z/ResultsNoEncrypt/200283	10,158,124
/home/amx/Z/ResultsNoEncrypt/500445	546,117
/home/amx/Z/ResultsNoEncrypt/500005	8,588,362
/home/amx/Z/ResultsNoEncrypt/500234	11,262,159
/home/amx/Z/ResultsNoEncrypt/500686	2,694,322
/home/amx/Z/ResultsNoEncrypt/200271	3,463,169
/home/amx/Z/ResultsNoEncrypt/200237	0
/home/amx/Z/ResultsNoEncrypt/500917	1,266,257
/home/amx/Z/ResultsNoEncrypt/200019	6,169,842
/home/amx/Z/ResultsNoEncrypt/500711	5,300,573
/home/amx/Z/ResultsNoEncrypt/200284	463,997
/home/amx/Z/ResultsNoEncrypt/100040	7,261,323
/home/amx/Z/ResultsNoEncrypt/200221	0
/home/amx/Z/ResultsNoEncrypt/200032	479,273,897
/home/amx/Z/ResultsNoEncrypt/200024	5,172,802
/home/amx/Z/ResultsNoEncrypt/100020	599,525
/home/amx/Z/ResultsNoEncrypt/500397	527,073
/home/amx/Z/ResultsNoEncrypt/100044	5,935,356
/home/amx/Z/ResultsNoEncrypt/500289	1,579,453
/home/amx/Z/ResultsNoEncrypt/500290	30,625,030
/home/amx/Z/ResultsNoEncrypt/200315	145,550
/home/amx/Z/ResultsNoEncrypt/200214	1,191,143
/home/amx/Z/ResultsNoEncrypt/500261	631,891
/home/amx/Z/ResultsNoEncrypt/200251	30,043
/home/amx/Z/ResultsNoEncrypt/100035	27,236,411
/home/amx/Z/ResultsNoEncrypt/400001	54,463
/home/amx/Z/ResultsNoEncrypt/500378	10,563,084
/home/amx/Z/ResultsNoEncrypt/200313	245,058
/home/amx/Z/ResultsNoEncrypt/200043	19,342,515
/home/amx/Z/ResultsNoEncrypt/200113	15,074,652
/home/amx/Z/ResultsNoEncrypt/500685	34,210,027
/home/amx/Z/ResultsNoEncrypt/500007	27,355,269
/home/amx/Z/ResultsNoEncrypt/666666	354,102
/home/amx/Z/ResultsNoEncrypt/500235	422,382
/home/amx/Z/ResultsNoEncrypt/700001	29,356,128
/home/amx/Z/ResultsNoEncrypt/100014	3,104,511
/home/amx/Z/ResultsNoEncrypt/200108	3,005,073
/home/amx/Z/ResultsNoEncrypt/500862	6,325,125
/home/amx/Z/ResultsNoEncrypt/500581	631,109
/home/amx/Z/ResultsNoEncrypt/200300	1,169,272
/home/amx/Z/ResultsNoEncrypt/200208	4,264,756
/home/amx/Z/ResultsNoEncrypt/500322	1,052,196
/home/amx/Z/ResultsNoEncrypt/200238	0
/home/amx/Z/ResultsNoEncrypt/999999	154,402,044
/home/amx/Z/ResultsNoEncrypt/100031	6,700,963
/home/amx/Z/ResultsNoEncrypt/200269	69,876
/home/amx/Z/ResultsNoEncrypt/200005	200,861,635
/home/amx/Z/ResultsNoEncrypt/500454	3,281,147
/home/amx/Z/ResultsNoEncrypt/100032	2,288,808
/home/amx/Z/ResultsNoEncrypt/500809	8,083,572
/home/amx/Z/ResultsNoEncrypt/500436	539,931
/home/amx/Z/ResultsNoEncrypt/200278	18,662,069
/home/amx/Z/ResultsNoEncrypt/200243	97,751
/home/amx/Z/ResultsNoEncrypt/500627	17,784,691
/home/amx/Z/ResultsNoEncrypt/200244	1,697,295
/home/amx/Z/ResultsNoEncrypt/500006	19,422,493
/home/amx/Z/ResultsNoEncrypt/100049	3,648,330
/home/amx/Z/ResultsNoEncrypt/200277	1,259,830
/home/amx/Z/ResultsNoEncrypt/200012	23,600,542
/home/amx/Z/ResultsNoEncrypt/100071	1,012,796
/home/amx/Z/ResultsNoEncrypt/500900	2,794,804
/home/amx/Z/ResultsNoEncrypt/200216	0
/home/amx/Z/ResultsNoEncrypt/100066	309,448
/home/amx/Z/ResultsNoEncrypt/200203	24,565,669
/home/amx/Z/ResultsNoEncrypt/200029	3,985,813
/home/amx/Z/ResultsNoEncrypt/500428	3,221,817
/home/amx/Z/ResultsNoEncrypt/500280	18,608,230
/home/amx/Z/ResultsNoEncrypt/200225	52,145,460
/home/amx/Z/ResultsNoEncrypt/200224	58,940
/home/amx/Z/ResultsNoEncrypt/500008	30,138,226
/home/amx/Z/ResultsNoEncrypt/500248	31,735,138
/home/amx/Z/ResultsNoEncrypt/500320	1,057,818
/home/amx/Z/ResultsNoEncrypt/200117	860,487
/home/amx/Z/ResultsNoEncrypt/500792	52,622
/home/amx/Z/ResultsNoEncrypt/500259	13,301,129
/home/amx/Z/ResultsNoEncrypt/500251	790,184
/home/amx/Z/ResultsNoEncrypt/200219	7,735,112
/home/amx/Z/ResultsNoEncrypt/500295	3,488,719
/home/amx/Z/ResultsNoEncrypt/500818	526,146
/home/amx/Z/ResultsNoEncrypt/100067	1,203,333
/home/amx/Z/ResultsNoEncrypt/888887	937,455
/home/amx/Z/ResultsNoEncrypt/200240	385,639
/home/amx/Z/ResultsNoEncrypt/500376	6,859,083
/home/amx/Z/ResultsNoEncrypt/100042	23,227,150
/home/amx/Z/ResultsNoEncrypt/200222	0
/home/amx/Z/ResultsNoEncrypt/200293	75,391
/home/amx/Z/ResultsNoEncrypt/500316	48,905,302
/home/amx/Z/ResultsNoEncrypt/200209	2,831,438
/home/amx/Z/ResultsNoEncrypt/200232	910,636
/home/amx/Z/ResultsNoEncrypt/200008	1,553,114
/home/amx/Z/ResultsNoEncrypt/500274	5,843,479
/home/amx/Z/ResultsNoEncrypt/888888	768,169
/home/amx/Z/ResultsNoEncrypt/500249	25,679,822
/home/amx/Z/ResultsNoEncrypt/200213	82,453
/home/amx/Z/ResultsNoEncrypt/200231	0
/home/amx/Z/ResultsNoEncrypt/200223	7,338,250
/home/amx/Z/ResultsNoEncrypt/500233	11,242,199
/home/amx/Z/ResultsNoEncrypt/500595	39,607,590
/home/amx/Z/ResultsNoEncrypt/100036	6,554,926
/home/amx/Z/ResultsNoEncrypt/200272	67,050
/home/amx/Z/ResultsNoEncrypt/200112	6,592,308
/home/amx/Z/ResultsNoEncrypt/100046	860,289
/home/amx/Z/ResultsNoEncrypt/200274	120,973
/home/amx/Z/ResultsNoEncrypt/500285	530,696
/home/amx/Z/ResultsNoEncrypt/200305	398,504
/home/amx/Z/ResultsNoEncrypt/200246	454,110
/home/amx/Z/ResultsNoEncrypt/500270	3,157,620
/home/amx/Z/ResultsNoEncrypt/999998	112,830
/home/amx/Z/ResultsNoEncrypt/200291	10,120,682
/home/amx/Z/ResultsNoEncrypt/99999	33,204
/home/amx/Z/ResultsNoEncrypt/777777	1,510,040
/home/amx/Z/ResultsNoEncrypt/200312	548,777
/home/amx/Z/ResultsNoEncrypt/200267	86,582
/home/amx/Z/ResultsNoEncrypt/100025	5,223,752
/home/amx/Z/ResultsNoEncrypt/200309	161,406
/home/amx/Z/ResultsNoEncrypt/100012	2,950,608
/home/amx/Z/ResultsNoEncrypt/500228	90,178,588
/home/amx/Z/ResultsNoEncrypt/500438	2,106,778
/home/amx/Z/ResultsNoEncrypt/200217	56,378
/home/amx/Z/ResultsNoEncrypt/200245	132,836
/home/amx/Z/ResultsNoEncrypt/200236	3,813,372
/home/amx/Z/ResultsNoEncrypt/500472	729,171
/home/amx/Z/ResultsNoEncrypt/200026	8,663,987
/home/amx/Z/ResultsNoEncrypt/500001	33,349,630
/home/amx/Z/ResultsNoEncrypt/500920	105,686
