Invoice #	Balance DueAmount Due	Zip Code
55611	180	78130
55612	434	29910
55644	300	29936
55697	51.83	37055
55735	22.21	37206
55756	30	37216
55780	229.74	37091
55785	270	38464
55810	180	75206
55880	40	77316
55927	204.21	37091
55930	344.61	87122
56023	110	78130
56040	63.48	37184
56062	37.89	38450
56076	142	36064
56107	28	29910
56142	63.48	37013
56164	40.85	37091
56237	40	37013
56257	8.89	37091
56416	184.21	37047
56417	204.21	37174
56519	260	34201
56805	174.19	87110
56847	204.21	37091
56936	667.93	79416
57005	245	78130
57012	270	38468
57038	12.49	38474
57066	10	78130
57106	32.27	77356
57108	165	78130
57124	194.33	38485
57136	204.21	37174
57146	150	33981
57181	808.14	87113
57202	270	38456
57203	164.5	37096
57207	204.21	38483
57226	152	29910
57314	90	33981
57318	75	87113
57344	204.21	37091
57398	15	78160
57522	63.48	42240
57785	90	99203
57814	150	29910
57853	85	81120
57889	15.2	37072
57891	331.52	78130
57909	55	38485
57992	181.45	38468
57993	330	38401
58129	7.86	80504
58134	112	78123
58135	96.98	78130
58210	50	38485
58255	16.66	34243
58277	32.58	37207
58331	243.55	41094
58344	375	32541
58394	40.85	38469
58502	67.18	37075
58512	200	87508
58567	257.95	38469
58568	270	38401
58570	270	38451
58587	111.24	41094
58647	9.73	38478
58704	55	38464
58743	115.35	37013
58786	24.43	38478
58787	103.6	42240
58855	150	34241
58905	63.48	37127
58926	86	38401
58928	270	37091
58991	45	38485
59025	211.61	38485
59033	187.12	80501
59184	106.24	38485
59212	40.83	38464
59213	40.85	38460
59283	10	80501
59335	347.96	38464
59545	20	37086
59960	150	34243
59970	50	36832
59998	160	37214
60020	89.77	38401
60024	40.85	38401
60028	274	38456
60263	35	37160
60276	57.67	37174
60355	85.36	37034
60409	218.48	37179
60423	11.68	37034
60438	109.33	36022
60453	50	36801
60505	115	34292
60540	77.11	38401
60543	261.17	37091
60593	80	38401
60596	204.21	38464
60629	125	37115
60829	204.21	38464
60832	270	38487
60833	204.21	38473
60862	250	38485
60940	150	77642
61033	430	38401
61035	261.68	38401
61036	40.85	38452
61046	20	38483
61246	56	37174
61364	200	67756
61366	72.6	37013
61398	63.52	37211
61409	106.3	37174
61584	270	38401
61629	270	38464
61803	51.35	38469
61812	305	71832
61931	87.69	73501
61932	75	38401
61933	270	38478
61936	40.85	38478
62036	85	88345
62055	87.7	37034
62107	207.32	37214
62133	204.21	38462
62208	142	36116
62268	71.29	37174
62293	75	38401
62374	137.26	38401
62380	203.63	37034
62387	150	34241
62389	160	34207
62529	292.24	38464
62544	90	34234
62580	66.83	38464
62600	31.67	37209
62763	75	76022
62774	200.73	38463
62775	430	38401
62783	35	37211
62894	160	80537
62953	170	38464
62954	40.72	38459
62977	430	38474
62979	75	76137
62982	60	37138
63019	188.86	38485
63031	150	34211
63041	271.65	37174
63042	96.3	38478
63044	430	38401
63197	172.35	37218
63208	40.72	38478
63233	63.33	37073
63240	55	38463
63319	130	67731
63568	140	80026
63642	27.69	38464
63764	123.73	71446
63824	439.98	68025
63870	32.76	36793
63894	42.5	37013
63922	150	34293
63930	150	34288
63948	3.69	37211
63955	75	68025
63971	120	36801
63983	6.64	71446
64031	21.5	38464
64043	300	76053
64111	208.7	37091
64185	12.67	37221
64272	55	36874
64313	122.15	34287
64323	255	34237
64360	40.17	38451
64362	80	37027
64371	270	38449
64501	70.69	37217
64517	160	80503
64544	380	38485
64545	142	36043
64572	35	37206
64601	230	34232
64671	63.31	37207
64676	40	37091
64719	43.98	37221
64827	125	37013
64955	63.31	37211
64995	40.72	37144
65061	14.76	37217
65086	270	38468
65088	40	37091
65164	68.41	78133
65199	40.72	38401
65314	160	34239
65350	250	36111
65357	270	38464
65361	220	38474
65369	170	07666
65552	63.33	37115
65561	55	0
65600	150	33953
65649	12.65	37029
65819	11.81	37029
65835	75	87121
66016	295	75149
66027	97.13	38485
66121	270	37179
66127	32.6	38401
66208	15.74	35010
66247	40.72	37096
66320	61.09	37144
66322	200	38401
66371	15	34234
66449	400	07076
66502	150	34224
66506	150	34224
66514	122.41	37067
66515	185.17	37067
66525	32.6	38464
66585	430	38483
66697	160	37067
66700	10	34224
66863	65.21	37033
66899	310	80504
66993	32.6	37174
67107	19	37187
67108	10	37080
67143	203.63	38463
67159	142	78130
67163	16.5	36117
67186	15	37064
67241	45	37211
67287	12.29	36832
67301	224	80503
67365	187.22	37122
67367	96.82	36109
67452	155.64	37055
67459	40.72	37034
67460	16.31	38468
67574	195	37034
67590	3.69	37055
67665	63.33	37211
67900	206	37086
67900	206	37086
67931	50	37097
67933	21.5	37091
67953	50	75503
67995	112.5	39190
67998	55	38401
68096	137	80501
68134	151	37067
68175	81.65	37027
68251	430	38462
68252	265.46	38464
68262	203.63	37091
68408	860	37174
68432	50	36801
68434	40	78108
68518	203.63	38401
68585	90	38462
68636	35	37055
68691	203.63	38462
68849	180	37215
68920	125	36804
68941	218.02	37033
69073	129.16	37128
69222	30.55	38483
69223	350	38401
69242	185	80501
69246	178.63	37091
69291	400	80504
69292	400	80504
69328	410	80513
69357	30.16	37174
69360	115.65	37174
69363	60	37033
69393	12.65	37037
69451	111.33	37067
69494	400	71334
69495	110	36831
69518	167	37013
69567	80	37208
69568	25.83	37090
69591	63.33	802
69624	380	38478
69711	63.46	37210
69713	63.42	37221
69738	245	38478
69770	337	35007
69813	380	38401
69820	150	80501
69934	160.43	37091
69982	40	38478
69995	25	38478
70018	50	38401
70052	475.56	35226
70114	185	71373
70132	20	71373
70133	542	35226
70146	155.28	37067
70147	35	37174
70155	110	78133
70193	55	37034
70201	203.92	38474
70225	12.69	37087
70262	250	37069
70307	182	71375
70308	20.55	35504
70392	100	37073
70395	61	37085
70488	120.83	38401
70509	32.65	37034
70511	195	35504
70558	210	38401
70569	176.92	38478
70570	32.64	38469
70701	405	38478
70704	405	38478
70706	215	37348
70739	57	37069
70740	75	76039
70748	270	37091
70752	100	38478
70755	145	38401
70849	160	80525
70970	75	76244
70971	205	71753
71045	80	37212
71060	870	87109
71167	203.92	38401
71229	75	87109
71272	250	37211
71273	250	37211
71313	250	92130
71325	140	80543
71367	163.25	38464
71383	89	38478
71409	62	38556
71448	14.78	38464
71449	77	38478
71495	125	78108
71500	270	37034
71517	30	80543
71536	63.46	37205
71538	181.73	37115
71679	70	35114
71925	200	36207
72073	113.51	37148
72246	20	37064
72299	180	78130
72314	142.2	87111
72329	8.84	37205
72380	163.25	38477
72385	203.92	38401
72431	30	78130
72444	118.8	37189
72469	75	87111
72473	20	33467
72584	94.1	38401
72646	100	38401
72651	270	38469
72655	233.72	38401
72657	205	78247
72678	170	80501
72683	104.09	37036
72714	845	87532
72733	75	87120
72872	610	75569
72893	350	78629
72967	250	38469
72977	255	37179
73001	80	37211
73014	880	80501
73021	182.25	37217
73076	79.2	78124
73078	485	38478
73133	12.69	37075
73170	40	80501
73212	62	38482
73213	605	75555
73243	46.1	38456
73245	163.25	38478
73269	650	38485
73285	80	75088
73286	38.67	71836
73291	40	38482
73385	270	38401
73392	270	38464
73406	300	75149
73436	53.91	37067
73512	220	38401
73570	7.76	38401
73606	300	38485
73608	159	38485
73626	40.78	38478
73630	90	38483
73642	203.92	38462
73658	739.11	87122
73690	115	38483
73768	52.26	38474
73772	75	87122
73779	400	37036
73802	44.39	37204
73825	55	36863
73845	871.89	87124
73913	75	87043
74021	40.78	38478
74165	270	38401
74188	56.02	37203
74191	80	37203
74192	71.4	37217
74210	300	37174
74270	200	71357
74304	215	37174
74315	344	38451
74369	420	38483
74479	380	38464
74490	870	87106
74508	12.69	37135
74529	117	78130
74544	229.58	38401
74565	106.44	35238
74595	250	37174
74651	53	37135
74658	60	37211
74673	210	80651
74675	46	67735
74680	72.54	30215
74681	63.46	37211
74720	54	38468
74724	101.97	38485
74733	32.65	38456
74806	1.47	38485
74828	60	38368
74837	31.32	63501
74838	759	38464
74891	190	87122
74910	95	37069
74911	18	37143
74912	18	37101
74920	35	37101
74942	20.4	38401
74954	870	87122
74955	265	37067
75012	100	23608
75057	37.6	38401
75060	440	37064
75140	75	87122
75144	63.42	37073
75186	11.09	38485
75213	200	36832
75224	7.4	38401
75276	215	37174
75278	40.78	38451
75284	20.4	38474
75286	142.26	37067
75319	150	63052
75363	114	37135
75416	218.25	38401
75425	400	38487
75443	120	38462
75519	181.73	37215
75528	195	37064
75567	40	34236
75600	203.92	38487
75601	270	38401
75629	60	38462
75630	67.51	38401
75632	250.32	38450
75642	570	91436
75664	1760	38401
75678	40	34236
75686	5.98	37172
75687	32.32	37055
75692	422.8	75089
75722	34.57	38482
75723	430	38456
75759	695	88011
75764	7.5	37135
75815	14.16	37077
75817	13.42	37209
75821	106.24	38305
75840	144.19	37073
75841	66.55	37215
75860	207.61	38401
75861	166.94	37091
75862	62.28	37144
75864	275	38457
75865	33.38	38451
75869	260	38451
